http://www.wikidata.org/entity/Q27096235,artificial geographic entity,"elements of the ground or the underground that have been greatly modified by human being (roads, houses, ...)",192
http://www.wikidata.org/entity/Q811979,architectural structure,human-made designed structure,89
http://www.wikidata.org/entity/Q13226383,facility,place for doing something,85
http://www.wikidata.org/entity/Q811430,human-made geographic feature,artificial construction meant to remain at a fixed geographic location,30
http://www.wikidata.org/entity/Q41176,building,"structure, typically with a roof and walls, standing more or less permanently in one place",27
http://www.wikidata.org/entity/Q193395,recording medium,physical storage medium for recording information,26
http://www.wikidata.org/entity/Q23764314,sports location,"site where a sport is practiced, whether dedicated to it or not",25
http://www.wikidata.org/entity/Q102074988,artificial physical structure,human-made system of connected force-bearing elements,24
http://www.wikidata.org/entity/Q83620,thoroughfare,transportation route connecting one location to another,23
http://www.wikidata.org/entity/Q376799,transport infrastructure,fixed installations that allow vehicles to operate,23
http://www.wikidata.org/entity/Q355304,watercourse,channel that a flowing body of water follows,17
http://www.wikidata.org/entity/Q1030034,GLAM,"acronym for ""galleries, libraries, archives, and museums"" that refers to cultural institutions that have access to knowledge as their mission",14
http://www.wikidata.org/entity/Q33506,museum,"institution that holds artifacts and other objects of scientific, artistic, cultural, historical, or other importance",12
http://www.wikidata.org/entity/Q12280,bridge,"structure that spans and provides a passage over a road, railway, river, or some other obstacle",11
http://www.wikidata.org/entity/Q1291195,find spot,"place or site were a (historical, paleontological, etc.) finding took place",10
http://www.wikidata.org/entity/Q570116,tourist attraction,place of interest where tourists visit,10
http://www.wikidata.org/entity/Q62447,aerodrome,location from which aircraft flight operations take place,9
http://www.wikidata.org/entity/Q8502,mountain,large landform that stretches above the surrounding land,19
http://www.wikidata.org/entity/Q16521,taxon,"group of one or more organism(s), which a taxonomist adjudges to be a unit",18
http://www.wikidata.org/entity/Q4022,river,larger natural watercourse,17
http://www.wikidata.org/entity/Q839954,archaeological site,place (or group of physical sites) in which evidence of past activity is preserved,10
http://www.wikidata.org/entity/Q207694,art museum,building or space for the exhibition of art,9
http://www.wikidata.org/entity/Q483110,stadium,"place or venue for (mostly) outdoor sports, concerts, or other events",8
http://www.wikidata.org/entity/Q3305213,painting,"visual artwork, surface artistically covered with paint",7
http://www.wikidata.org/entity/Q3231690,automobile model,"industrial automobile model associated with a brand, defined usually from an engineering point of view by a combination of chassis/bodywork",6
http://www.wikidata.org/entity/Q11060274,print,work of art printed from a block or plate
http://www.wikidata.org/entity/Q112110,emblem,pictorial image that epitomizes a concept or that represents a person
http://www.wikidata.org/entity/Q11900210,photographic work,artwork produced by photography
http://www.wikidata.org/entity/Q12043905,pastel,artwork made using pastels
http://www.wikidata.org/entity/Q125191,photograph,image created by light falling on a light-sensitive surface
http://www.wikidata.org/entity/Q1278452,polyptych,painting divided into multiple panels
http://www.wikidata.org/entity/Q133067,mosaic,"image made from an assemblage of small pieces of colored glass, stone, or other materials"
http://www.wikidata.org/entity/Q1473346,stained glass,decorative material composed of pieces of coloured glass
http://www.wikidata.org/entity/Q15711026,altarpiece,"artwork (painting, sculpture or relief) behind the altar"
http://www.wikidata.org/entity/Q162206,pictorial map,map that uses pictures to represent features
http://www.wikidata.org/entity/Q1665351,intaglio,sculptural work created by carving or incising a sunken design
http://www.wikidata.org/entity/Q178401,amphora,type of storage container
http://www.wikidata.org/entity/Q178659,illustration,depiction made by an artist
http://www.wikidata.org/entity/Q2003285,Hedwig glass,type of glass beaker originating in the Middle East or Norman Sicily and dating from the 10th-12th centuries AD
http://www.wikidata.org/entity/Q2123148,quillwork,works decorated with arrangements of porcupine quills or feathers
http://www.wikidata.org/entity/Q21281546,gouache painting,type of painting; an artwork that uses gouache paint
http://www.wikidata.org/entity/Q22075301,textile artwork,artwork created from textile materials
http://www.wikidata.org/entity/Q22669857,collage,artwork created with collage technique
http://www.wikidata.org/entity/Q2605386,tile panel,visual artwork produced with tiles
http://www.wikidata.org/entity/Q28106657,model sheet,"document used to help standardize the appearance, poses, and gestures of an animated character"
http://www.wikidata.org/entity/Q29457028,projection,image or moving images projected onto a surface
http://www.wikidata.org/entity/Q29527347,figure,"representation of humans, animals, or mythical beasts, in any medium"
http://www.wikidata.org/entity/Q368972,lacquerware,decorative work using lacquer
http://www.wikidata.org/entity/Q429785,poster,any piece of printed paper designed to be attached to a wall or vertical surface
http://www.wikidata.org/entity/Q5567091,glass art,large works of art which are substantially or wholly made of glass
http://www.wikidata.org/entity/Q56753586,topographical view,
http://www.wikidata.org/entity/Q63957358,paperwork,"decorative work made entirely or primarily of paper, such as decorative folding, stamping, scrapbooking, cardmaking, stenciling or cutting, etc., but excluding those where paper is merely the support of graphic, painted, etc. works"
http://www.wikidata.org/entity/Q7208980,elegiac couplet,hexameter verse followed by a pentameter verse
http://www.wikidata.org/entity/Q722604,reliquary,container for religious relics
http://www.wikidata.org/entity/Q84080586,charcoal drawing,"two-dimensional works, usually on paper, in which the image is created with charcoal, which is a black, porous carbonaceous material made from burned wood"
http://www.wikidata.org/entity/Q85621065,chalk drawing,"drawings executed in chalk, which is a fine-grained limestone, or soft, earthy form of calcium carbonate"
http://www.wikidata.org/entity/Q860861,sculpture,three-dimensional work of art
http://www.wikidata.org/entity/Q861717,picture citation,intentional use of elements of one visual work in the visual arts and architecture
http://www.wikidata.org/entity/Q93184,drawing,visual artwork in two-dimensional medium
http://www.wikidata.org/entity/Q96093619,picture,object genre covering two-dimensional works
http://www.wikidata.org/entity/Q20460,crucifix,cross with an image or artwork of Jesus on it
http://www.wikidata.org/entity/Q46686,reredos,"altarpiece, screen or decoration behind the altar in a church"
http://www.wikidata.org/entity/Q16560,palace,"grand residence, especially a royal residence or the home of a head of state",6
http://www.wikidata.org/entity/Q23413,castle,"type of fortified structure built in Europe, Asia and the Middle East during the Middle Ages by nobility",5
http://www.wikidata.org/entity/Q34442,road,way on land between two places,5
http://www.wikidata.org/entity/Q169358,stratovolcano,"tall, conical volcano built up by many layers (strata) of hardened lava",5
http://www.wikidata.org/entity/Q79007,street,public thoroughfare in a built environment,5
http://www.wikidata.org/entity/Q1248784,airport,location where aircraft take off and land with extended support facilities for aircraft operation,4
http://www.wikidata.org/entity/Q56242250,anglican or episcopal cathedral,churches that are the seat of bishops of the Anglican communion,4
http://www.wikidata.org/entity/Q131436,board game,"game that involves counters or pieces moved or placed on a pre-marked surface or ""board"", according to a set of rules",4
http://www.wikidata.org/entity/Q10929058,model,model
http://www.wikidata.org/entity/Q1836700,manufactured good,good
http://www.wikidata.org/entity/Q2424752,product,result of work that can be offered to a market (not Q15401930)
http://www.wikidata.org/entity/Q811701,model series,group of related products, sold simultaneously or consecutively
http://www.wikidata.org/entity/Q7239,organism,"any contiguous alive physical entity; entity or being that is living; an individual living thing, such as one animal, plant, fungus, or bacterium"
http://www.wikidata.org/entity/Q14897293,fictional entity,entity that only exists in a work of fiction
http://www.wikidata.org/entity/Q6999,astronomical object,physical body of astronomically-significant size, mass, or role, naturally occurring in a universe
http://www.wikidata.org/entity/2385804,educational institution,institution that provides education
http://www.wikidata.org/entity/Q38829,breed,specific group of domestic animals
http://www.wikidata.org/entity/Q783794,company,"legal entity representing an association of people, whether natural, legal or a mixture of both, with a specific objective"
http://www.wikidata.org/entity/Q6881511,enterprise,"for-profit organizational unit producing goods or services, which benefits from a certain degree of autonomy in decision-making, especially for the allocation of its current resources"
http://www.wikidata.org/entity/Q4830453,business,"organization involved in commercial, industrial, or professional activity"
http://www.wikidata.org/entity/Q32178211,music organization,organisation linked with music
http://www.wikidata.org/entity/Q105815710,performing arts group,group or organization primarily engaged in the production and/or presentation of performances or in any other activity within the value chain of the performing arts (can be an informal group or a group operating as a corporate body)
http://www.wikidata.org/entity/Q327245,team,group linked in a common purpose
http://www.wikidata.org/entity/Q4438121,sports organization,organization involved primarily in sports

